,Valid Domains,MXRecords
130,k156.org,alt2.aspmx.l.google.com.
131,ps161.org,alt1.aspmx.l.google.com.
132,ps164.org,alt2.aspmx.l.google.com.
133,ps169brooklyn.org,alt1.aspmx.l.google.com.
134,ps255.org,aspmx.l.google.com.
135,ps176.org,alt3.aspmx.l.google.com.
136,mckinley259.org,aspmx.l.google.com.
137,ps261brooklyn.org,alt1.aspmx.l.google.com.
138,ms267.org,alt1.aspmx.l.google.com.
139,ps268.org,aspmx3.googlemail.com.
140,mhsbk.org,aspmx2.googlemail.com.
141,ps270.org,alt4.aspmx.l.google.com.
142,lyonscommunityschool.org,alt2.aspmx.l.google.com.
143,ms-ap.org,alt3.aspmx.l.google.com.
144,mecps.org,alt4.aspmx.l.google.com.
145,khalilgibranhs.org,alt3.aspmx.l.google.com.
146,ps274.org,alt2.aspmx.l.google.com.
147,gothamacademy.org,alt2.aspmx.l.google.com.
148,clarabartonhs.org,aspmx.l.google.com.
149,westinghousehs.org,ASPMX.L.GOOGLE.COM.
150,ihsph.org,alt1.aspmx.l.google.com.
151,uascriminaljustice.org,alt3.aspmx.l.google.com.
152,atechhs.org,alt3.aspmx.l.google.com.
153,uainstitute.org,aspmx.l.google.com.
154,tywlsbrooklyn.org,alt1.aspmx.l.google.com.
155,282parkslope.org,alt4.aspmx.l.google.com.
156,transittechhs.org,alt4.aspmx.l.google.com.
157,gjs284.org,alt2.aspmx.l.google.com.
158,aelnyc.org,alt3.aspmx.l.google.com.
159,iam-hs.org,aspmx2.googlemail.com.
160,afyw.org,aspmx.l.google.com.
161,aoiths.org,aspmx.l.google.com.
162,midwoodhighschool.org,aspmx.l.google.com.
163,lmghs.org,alt2.aspmx.l.google.com.
164,welovebccs.org,aspmx.l.google.com.
165,brooklynbrownstoneschool.org,smtp.secureserver.net.
166,aohterasmus.org,aspmx.l.google.com.
167,alhs.org,localhost.
168,bcamhs.org,aspmx.l.google.com.
169,urbanactionacademy.org,alt4.aspmx.l.google.com.
170,brooklynarbor.org,aspmx.l.google.com.
171,urbandove.org,alt1.aspmx.l.google.com.
172,communityroots.org,alt2.aspmx.l.google.com.
173,ycdhs.org,alt4.aspmx.l.google.com.
174,lacimacharterschool.org,alt1.aspmx.l.google.com.
175,paveschools.org,alt2.aspmx.l.google.com.
176,scienceskillscenterhs.org,scienceskillscenterhs-org.mail.protection.outlook.com.
177,ascendlearning.org,us-smtp-inbound-1.mimecast.com.
178,sccsbrooklyn.org,aspmx.l.google.com.
179,vscschool.org,vscschool.org.
180,hsslnyc.org,alt3.aspmx.l.google.com.
181,brooklynfrontiers.org,ASPMX.L.GOOGLE.COM.
182,chcpschool.org,mail.chcpschool.org.
183,johndeweyhighschool.org,alt4.aspmx.l.google.com.
184,nhaschools.org,mxbiz2.qq.com.
185,mesacharter.org,aspmx.l.google.com.
186,sofbk.org,smtp.google.com.
187,tnaacs.org,aspmx.l.google.com.
188,sunsetparkhighschool.org,aspmx3.googlemail.com.
189,brooklynacademyhs.org,aspmx3.googlemail.com.
190,hlacharterschool.org,alt2.aspmx.l.google.com.
191,ebchighschool.org,alt2.aspmx.l.google.com.
192,citypolyhs.org,alt3.aspmx.l.google.com.
193,nyharbormiddleschool.org,alt3.aspmx.l.google.com.
194,bges.org,.
195,whsad.org,ALT1.ASPMX.L.GOOGLE.COM.
196,unityprep.org,alt1.aspmx.l.google.com.
197,bugsbrooklyn.org,aspmx.l.google.com.
198,williamsburgprep.org,alt2.aspmx.l.google.com.
